task_id,department,criticality,urgency,asset_condition,overdue,overdue_days,failure_history,estimated_duration_hours,safety_critical,passenger_impact,priority_score,maintenance_priority_class
TASK-1000,Traction,ROUTINE,MEDIUM,GOOD,True,9,0,0.7,0,0,46.11514928204013,MEDIUM
TASK-1001,S&T,ROUTINE,MEDIUM,FAIR,True,23,0,2.2,0,1,48.837173645764544,MEDIUM
TASK-1002,Traction,MEDIUM,NORMAL,GOOD,False,0,1,5.6,0,1,29.671351232148716,LOW
TASK-1003,Traction,ROUTINE,NORMAL,GOOD,False,0,1,4.9,0,1,18.28796581440414,LOW
TASK-1004,Engineering,ROUTINE,NORMAL,GOOD,False,0,1,1.2,0,0,22.55461294854933,LOW
TASK-1005,Engineering,CRITICAL,IMMEDIATE,FAILED,False,0,0,5.0,1,1,100.0,CRITICAL
TASK-1006,Traction,ROUTINE,NORMAL,FAIR,False,0,2,5.9,0,1,23.97236068839937,LOW
TASK-1007,Traction,CRITICAL,IMMEDIATE,FAILED,True,3,1,3.6,1,0,100.0,CRITICAL
TASK-1008,S&T,HIGH,HIGH,FAILED,False,0,2,2.6,1,1,85.40077895802645,CRITICAL
TASK-1009,Engineering,ROUTINE,MEDIUM,FAIR,False,0,0,5.7,0,1,28.05838144420434,LOW
TASK-1010,S&T,HIGH,HIGH,DEGRADED,False,0,2,1.7,1,0,72.45393812074393,HIGH
TASK-1011,S&T,ROUTINE,NORMAL,GOOD,True,12,2,1.2,0,1,48.78120014285412,MEDIUM
TASK-1012,Engineering,HIGH,MEDIUM,DEGRADED,False,0,2,6.9,1,0,71.82321827907003,HIGH
TASK-1013,Traction,MEDIUM,MEDIUM,DEGRADED,True,1,2,6.6,0,1,30.562155426995538,LOW
TASK-1014,Traction,HIGH,HIGH,POOR,False,0,5,4.5,1,1,87.49121478207732,CRITICAL
TASK-1015,S&T,LOW,MEDIUM,GOOD,False,0,0,4.6,0,0,28.365627513869875,LOW
TASK-1016,Traction,CRITICAL,IMMEDIATE,FAILED,False,0,0,7.1,1,0,100.0,CRITICAL
TASK-1017,S&T,HIGH,IMMEDIATE,FAILED,True,3,4,1.9,1,1,97.38842533402132,CRITICAL
TASK-1018,Engineering,ROUTINE,NORMAL,GOOD,True,1,1,5.5,0,0,21.336953597259935,LOW
TASK-1019,S&T,MEDIUM,NORMAL,GOOD,False,0,2,6.9,0,1,28.15660981190234,LOW
TASK-1020,Engineering,HIGH,IMMEDIATE,POOR,True,21,2,2.6,1,1,100.0,CRITICAL
TASK-1021,Traction,MEDIUM,MEDIUM,DEGRADED,True,1,1,1.7,0,1,35.982621729419,LOW
TASK-1022,S&T,ROUTINE,NORMAL,FAIR,True,8,2,5.5,0,1,31.42654534369361,LOW
TASK-1023,Traction,ROUTINE,MEDIUM,GOOD,False,0,3,5.1,0,0,33.780608992669826,LOW
TASK-1024,Engineering,HIGH,IMMEDIATE,FAILED,True,3,1,6.0,1,1,100.0,CRITICAL
TASK-1025,Engineering,CRITICAL,IMMEDIATE,POOR,True,9,0,3.3,1,0,100.0,CRITICAL
TASK-1026,Traction,CRITICAL,IMMEDIATE,FAILED,True,2,2,2.1,1,1,100.0,CRITICAL
